epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.59,1.68394,3.93914,1.63906,0.00719,0.33333,0.02261,0.01016,1.26265,4.2951,1.44826,7.145e-05,7.145e-05,7.145e-05
2,11.2555,1.51147,2.95923,1.53019,0.89674,0.53386,0.64134,0.45325,1.28062,2.55374,1.28098,0.000154596,0.000154596,0.000154596
3,16.1555,1.34399,2.09103,1.3787,0.85269,0.63401,0.70918,0.49714,1.10075,1.91268,1.18102,0.000234913,0.000234913,0.000234913
4,20.2679,1.27639,1.73826,1.30472,0.83317,0.67189,0.77916,0.55542,0.96646,1.44148,1.06655,0.000312401,0.000312401,0.000312401
5,22.8607,1.18082,1.53714,1.23888,0.74785,0.83333,0.8809,0.65716,0.80037,1.20571,0.96377,0.000387059,0.000387059,0.000387059
6,25.0836,1.12603,1.3721,1.20785,0.6256,0.68877,0.7049,0.47473,1.07825,1.65961,1.12951,0.000458888,0.000458888,0.000458888
7,27.3777,1.10503,1.31232,1.2059,0.43055,0.33333,0.45511,0.26061,1.55858,2.28884,1.49768,0.000527887,0.000527887,0.000527887
8,29.4645,1.07528,1.19049,1.1711,0.50743,0.42594,0.44654,0.27099,1.67947,2.92402,1.64994,0.000594057,0.000594057,0.000594057
9,32.4003,1.00073,1.11366,1.16313,0.54506,0.56135,0.51227,0.40823,1.38514,2.01404,1.49564,0.000657397,0.000657397,0.000657397
10,35.0761,0.99974,1.02564,1.15222,0.64625,0.33333,0.42211,0.28956,1.41441,2.28554,1.39313,0.000717908,0.000717908,0.000717908
11,37.5,0.94858,0.99247,1.09962,0.57909,0.46488,0.49149,0.33827,1.27504,1.90966,1.28992,0.00077559,0.00077559,0.00077559
12,39.6826,1.00733,0.97275,1.13922,0.89241,0.5,0.61847,0.45078,1.08524,1.4671,1.23907,0.000830442,0.000830442,0.000830442
13,41.8175,0.95409,0.90142,1.12666,0.68493,0.5814,0.61828,0.45131,1.05679,1.54647,1.23547,0.000882465,0.000882465,0.000882465
14,44.0964,0.98358,0.94545,1.13871,0.96442,0.64303,0.73046,0.49987,1.28804,1.6889,1.48887,0.000931658,0.000931658,0.000931658
15,47.2703,0.88951,0.79867,1.09027,0.96383,0.73706,0.8232,0.54013,1.15083,1.27599,1.3724,0.000978022,0.000978022,0.000978022
16,49.6173,0.94429,0.87593,1.15438,0.93861,0.82174,0.84313,0.59077,1.2253,1.18412,1.45263,0.00102156,0.00102156,0.00102156
17,51.754,0.89751,0.83211,1.1019,0.9728,0.98817,0.995,0.74254,0.97593,1.01959,1.28562,0.00105174,0.00105174,0.00105174
18,53.8661,0.86419,0.87311,1.1087,0.76214,0.92436,0.94944,0.69558,0.81275,0.92563,1.1344,0.00102817,0.00102817,0.00102817
19,55.9891,0.87764,0.80298,1.07473,0.78705,0.89811,0.95226,0.75503,0.78929,1.09538,1.08324,0.00100459,0.00100459,0.00100459
20,59.1558,0.83578,0.77719,1.05089,0.84408,0.89061,0.91025,0.73187,0.9545,0.85663,1.21067,0.000981008,0.000981008,0.000981008
21,61.5472,0.79175,0.72627,1.01297,0.96331,0.88034,0.9352,0.72754,0.98476,0.81358,1.24001,0.00095743,0.00095743,0.00095743
22,63.6648,0.83673,0.72845,1.08619,0.93884,0.88889,0.94132,0.76733,0.77995,0.7691,1.07166,0.000933851,0.000933851,0.000933851
23,65.843,0.7952,0.70666,1.02243,0.93464,0.91921,0.94572,0.75697,0.86319,0.69425,1.12491,0.000910273,0.000910273,0.000910273
24,68.0876,0.82787,0.72973,1.05686,0.90895,0.77778,0.93589,0.76382,0.79356,0.7451,1.11025,0.000886694,0.000886694,0.000886694
25,70.6318,0.76239,0.63912,1.04398,0.96396,0.79032,0.95504,0.79587,0.72552,0.76487,1.09852,0.000863116,0.000863116,0.000863116
26,73.8071,0.79662,0.68699,1.06941,0.87621,0.94413,0.94294,0.78668,0.7676,0.5905,1.10236,0.000839537,0.000839537,0.000839537
27,75.9925,0.73512,0.65276,1.00233,0.87915,0.92101,0.95183,0.75661,0.79354,0.60761,1.11504,0.000815959,0.000815959,0.000815959
28,78.1264,0.78242,0.6776,1.03932,0.8477,0.87104,0.91109,0.69723,0.84898,0.86389,1.13503,0.00079238,0.00079238,0.00079238
29,80.1585,0.73785,0.66492,1.01811,0.78428,0.85538,0.89872,0.72695,0.82145,0.89009,1.10098,0.000768802,0.000768802,0.000768802
30,82.3687,0.70506,0.59545,1.00879,1,0.85243,0.95889,0.79374,0.78513,0.73317,1.08399,0.000745223,0.000745223,0.000745223
31,85.8998,0.69995,0.5646,0.97552,0.8611,0.88959,0.94389,0.80572,0.72383,0.66864,1.03462,0.000721645,0.000721645,0.000721645
32,88.4218,0.64114,0.5049,0.95734,0.89375,0.90924,0.9364,0.78571,0.67343,0.66802,1.00101,0.000698066,0.000698066,0.000698066
33,90.4426,0.7382,0.61721,1.00753,0.95373,0.94444,0.94421,0.80341,0.66553,0.58513,0.99861,0.000674488,0.000674488,0.000674488
34,92.5281,0.67933,0.56745,0.97122,0.96435,0.94444,0.94759,0.80597,0.66324,0.53758,0.99862,0.000650909,0.000650909,0.000650909
35,94.682,0.64183,0.51147,0.9522,0.9465,0.94444,0.94894,0.79962,0.67599,0.55383,1.0012,0.000627331,0.000627331,0.000627331
36,97.2286,0.70958,0.58708,1.02611,0.95504,0.93736,0.94493,0.80242,0.71124,0.58216,1.025,0.000603752,0.000603752,0.000603752
37,100.058,0.67469,0.55706,1.00961,0.96776,0.94444,0.94323,0.79643,0.72635,0.57151,1.03978,0.000580174,0.000580174,0.000580174
38,102.438,0.64576,0.46978,0.96256,0.94636,0.94444,0.94599,0.8211,0.71398,0.54714,1.01292,0.000556595,0.000556595,0.000556595
39,104.572,0.64499,0.51368,0.9827,0.93596,0.94444,0.95944,0.82033,0.72915,0.52153,1.00343,0.000533017,0.000533017,0.000533017
40,106.688,0.61002,0.50734,0.95707,0.96883,0.93353,0.97367,0.8189,0.72693,0.45212,0.99852,0.000509438,0.000509438,0.000509438
41,109.226,0.6212,0.48666,0.98009,0.97124,0.93905,0.97076,0.80477,0.71896,0.43647,1.01145,0.00048586,0.00048586,0.00048586
42,112.673,0.64158,0.48531,0.99081,0.97363,0.94444,0.95108,0.81978,0.6995,0.47005,1.03833,0.000462281,0.000462281,0.000462281
43,114.983,0.59715,0.4711,0.97311,0.9758,0.93917,0.95136,0.8221,0.67665,0.44394,1.02414,0.000438703,0.000438703,0.000438703
44,117.202,0.63771,0.50556,0.97572,0.97604,0.94444,0.95397,0.83603,0.65758,0.47873,1.00726,0.000415124,0.000415124,0.000415124
45,119.59,0.54317,0.43289,0.94311,0.97294,0.94444,0.95167,0.8397,0.6616,0.47952,1.00225,0.000391546,0.000391546,0.000391546
46,122.183,0.55124,0.42683,0.93476,0.96142,0.94337,0.95199,0.8401,0.63438,0.46648,0.95621,0.000367967,0.000367967,0.000367967
47,125.613,0.53653,0.41508,0.93651,0.97772,0.89843,0.95767,0.86178,0.62625,0.46219,0.94864,0.000344389,0.000344389,0.000344389
48,127.998,0.50959,0.408,0.89431,0.94779,0.88889,0.96071,0.86138,0.58881,0.4623,0.93703,0.00032081,0.00032081,0.00032081
49,130.063,0.56198,0.43276,0.92519,0.93956,0.88889,0.95742,0.84649,0.59079,0.4691,0.94006,0.000297232,0.000297232,0.000297232
50,132.319,0.54328,0.41997,0.94117,0.94796,0.88889,0.95119,0.84741,0.56862,0.47371,0.93721,0.000273654,0.000273654,0.000273654
51,144.098,0.45628,0.38521,0.90985,0.95538,0.88889,0.94518,0.84959,0.56436,0.50266,0.94003,0.000250075,0.000250075,0.000250075
52,149.136,0.46457,0.35467,0.89232,0.96071,0.88153,0.9374,0.81941,0.61543,0.53986,0.97421,0.000226497,0.000226497,0.000226497
53,153.927,0.44391,0.34432,0.87051,0.97268,0.83333,0.92689,0.82275,0.62373,0.52885,0.97734,0.000202918,0.000202918,0.000202918
54,156.508,0.43347,0.32488,0.86165,0.89972,0.94444,0.94814,0.83553,0.64139,0.54878,0.98257,0.00017934,0.00017934,0.00017934
55,159.19,0.41496,0.34164,0.86227,0.93552,0.92807,0.94652,0.82941,0.63861,0.53285,0.98141,0.000155761,0.000155761,0.000155761
56,161.497,0.42489,0.33021,0.87135,0.96245,0.93622,0.94498,0.83498,0.62814,0.49593,0.97422,0.000132183,0.000132183,0.000132183
57,164.549,0.41603,0.31113,0.8618,0.97168,0.94012,0.94507,0.82951,0.60911,0.46765,0.96389,0.000108604,0.000108604,0.000108604
58,166.776,0.4036,0.29606,0.85801,0.97033,0.94444,0.95167,0.83449,0.58127,0.45224,0.94949,8.50255e-05,8.50255e-05,8.50255e-05
59,168.82,0.3914,0.30857,0.87397,0.9696,0.94444,0.95352,0.84195,0.57389,0.43488,0.94601,6.1447e-05,6.1447e-05,6.1447e-05
60,170.918,0.37665,0.29787,0.84332,0.97084,0.94444,0.95621,0.85125,0.56944,0.41746,0.94359,3.78685e-05,3.78685e-05,3.78685e-05
